,Title,Price,Rating,no_of_ratings,Link,ImageURL
106,"PICKARTME Polyresin Sitting Buddha Idol Statue Showpiece | Buddha Idol Decor for Pooja Ghar, Office & Gifting (Blue), 24 cm, 18 cm, 16 cm",₹331,3.8,31,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTIwNjM4MDk5OTM0MDA4OjE3NjIyOTczODk6c3BfYXRmX25leHQ6MzAwNjQzMzQxMzMwNTMyOjowOjo&url=%2FPICKARTME-Polyresin-Sitting-Showpiece-Gifting%2Fdp%2FB0DN9B19PM%2Fref%3Dsr_1_145_sspa%3Fcrid%3D349J41UZKK17D%26dib%3DeyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU%26dib_tag%3Dse%26keywords%3Dhandcraft%26qid%3D1762297388%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=y8xo4QArgp&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61GPmuV4PrL._AC_UL320_.jpg
107,"The Decorshed ployresin owl showpiece for Home Decor Garden Decor Room Decor Brown Pack of 1, Nature",₹399,3.9,84,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTIwNjM4MDk5OTM0MDA4OjE3NjIyOTczODk6c3BfYXRmX25leHQ6MzAwNjIyOTY0NzU5NDMyOjowOjo&url=%2FDecorshed-ployresin-showpiece-Garden-%25E2%2580%258EBrown%2Fdp%2FB0CDL6P2HM%2Fref%3Dsr_1_146_sspa%3Fcrid%3D349J41UZKK17D%26dib%3DeyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU%26dib_tag%3Dse%26keywords%3Dhandcraft%26qid%3D1762297388%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=W802qVnSF7&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51Brw23W2FL._AC_UL320_.jpg
108,Mukherjee Handicraft's Terracotta Wall Hanging Showpiece for Home Décor Jamini Roy,₹299,4.1,42,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTIwNjM4MDk5OTM0MDA4OjE3NjIyOTczODk6c3BfYXRmX25leHQ6MjAxMDc2MjgwNjk2OTg6OjA6Og&url=%2FMukherjee-Handicrafts-Terracotta-Hanging-Showpiece%2Fdp%2FB08MY7QRP6%2Fref%3Dsr_1_147_sspa%3Fcrid%3D349J41UZKK17D%26dib%3DeyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU%26dib_tag%3Dse%26keywords%3Dhandcraft%26qid%3D1762297388%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=aQcxM866fm&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81LZPTk4FQL._AC_UL320_.jpg
109,"JH Gallery Handcrafted and Emboss Painted Colorful Wooden Elephant Decorative Showpiece Stool (8 Inches Height, Black)",₹825,4.2,1200,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTIwNjM4MDk5OTM0MDA4OjE3NjIyOTczODk6c3BfYXRmX25leHQ6MjAwNDk4ODM5MzMxMDg6OjA6Og&url=%2FJH-Gallery-Handcrafted-Colorful-Elephant%2Fdp%2FB08HK6XFPF%2Fref%3Dsr_1_148_sspa%3Fcrid%3D349J41UZKK17D%26dib%3DeyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU%26dib_tag%3Dse%26keywords%3Dhandcraft%26qid%3D1762297388%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D8-148-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=vR1fDGxhHS&sp_cr=ZAZ,https://m.media-amazon.com/images/I/91KzAfRSsaL._AC_UL320_.jpg
110,"Genda Phool Artificial Marigold Fluffy Flower Handcraft Stylish Window Door Diwali pooja living room bedroom Home Hall Office Special String Plastic Festival Theme Decorative Stage Décor Orange, 21",₹899,No rating,0,https://www.amazon.in/Artificial-Marigold-Garlands-Navratri-Decoration/dp/B09HP6BPSZ/ref=sr_1_149?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-149,https://m.media-amazon.com/images/I/510GYaL2ngL._AC_UL320_.jpg
111,Mukesh Global Trading Rajasthani Musician Figurines Set of 5 | Handcrafted Wooden Showpieces for Home Décor | Traditional Indian Folk Art | Cultural Gift Item | Ethnic Miniature Musicians,"₹1,199",5.0,2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTczNzE1ODU4MzY1OTk1OjE3NjIyOTczNzM6c3BfYXRmOjMwMDcwMDk0OTUzOTEzMjo6MDo6&url=%2FMukesh-Rajasthani-Handcrafted-Showpieces-Traditional%2Fdp%2FB0FDKJ6QNX%2Fref%3Dsr_1_3_sspa%3Fcrid%3D349J41UZKK17D%26dib%3DeyJ2IjoiMSJ9.ytNwWbOinfnu9E2dHj7wED4WveuLOzP5ZcKBlpI_Lj71ENVQam90UF_3wNOOby2ysVuXP41m5kUaybdgZHrSDhl5X9umNrLf9E_oz2oemtWTiNmNoompSvpZms08AeJWtB1xl7pDypyhyl-nP8NgkaJ91vTR1_DwCKfaYOklNLTtj1hEknb07OH9AcA67bREfUTslNeC17uho7mkEfrkWyByXMJMkwF4eji-JIassHozmKvv9LhUX90w3fQyLp4JO2ByvpjJ83pOcHQXuWMCMC7I9pE3KErnxsKjXbYCgjI.0X1wvORXQ0STK91mLAhokiBsvsIPls_lwTzFliJphLw%26dib_tag%3Dse%26keywords%3Dhandcraft%26qid%3D1762297373%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=avqu3VsDud&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71kyA51zwdL._AC_UL320_.jpg
112,Evana Handcraft Pure neem wooden comb for hair growth| Model 1 | women/men/kids | anti dandruff | Thin and Wide Teeth | Non-static | Eco-Friendly,₹186,3.8,35,No link,https://m.media-amazon.com/images/I/81p52fZ+gxL._AC_UL320_.jpg
113,"Sweera Art Concrete Sitting Teddy Bear Statue - Little Animal Miniature for Living Room, Bedroom, Kids Room, Office Table Decoration and Handcraft Retro Accent Collectible Gift Item (White)",₹449,2.8,2,https://www.amazon.in/Sweera-Concrete-Sitting-Teddy-Statue/dp/B0BSFMWG7D/ref=sr_1_150?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-150,https://m.media-amazon.com/images/I/71+D3vtbJWL._AC_UL320_.jpg
114,Veloxi Handcrafted Laser Cut Rectangle Shape Hand Clutch Bag Wooden ladies Purse Handcraft for Women latest Laser Cut Finish Decent Design White Color 1 pc,₹795,No rating,0,https://www.amazon.in/Veloxi-Handcrafted-Rectangle-Clutch-Handcraft/dp/B0DCNX1X8F/ref=sr_1_151?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-151,https://m.media-amazon.com/images/I/31zDp8VjTmL._AC_UL320_.jpg
115,"MAMU SHOP Eco-Friendly Eucalyptus Wooden Veena Home Decor Showpiece - Perfect Wall and Living Room Decoration Item, Unique Housewarming Gift for Couples and New Home - Versatile Room, 9 cm",₹395,4.2,173,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDE5Nzc5MTA4ODIyMDk4OjE3NjIyOTczODk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE1MjkwODE2ODAzMjo6MDo6&url=%2FMAMU-SHOP-Friendly-Eucalyptus-Showpiece%2Fdp%2FB09V5JSG2L%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%253Aamzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%26crid%3D349J41UZKK17D%26cv_ct_cx%3Dhandcraft%26keywords%3Dhandcraft%26pd_rd_i%3DB09V5JSG2L%26pd_rd_r%3D5f1957f6-e2f6-4210-89d8-0276466c7b01%26pd_rd_w%3DM1Jtx%26pd_rd_wg%3DXXDNx%26pf_rd_p%3Df4325b99-8968-4d6c-a274-a54cc530dfac%26pf_rd_r%3DET4E3KSWVZ9MVMCZN3RN%26qid%3D1762297388%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D1-145-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=C2qKeEmAcD&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51v2r6m0pJL._AC_UL320_.jpg
116,"Xtore Beautiful Finish Uniquely Hand Crafted Home Decor African Tribal Women Art Piece - (Set of 3, Green and Black Color)",₹999,4.3,7000,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDE5Nzc5MTA4ODIyMDk4OjE3NjIyOTczODk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE0ODA0NDc1NTMzMjo6MTo6&url=%2FXtore-Beautiful-Uniquely-Crafted-African%2Fdp%2FB0BFFWQVV3%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%253Aamzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%26crid%3D349J41UZKK17D%26cv_ct_cx%3Dhandcraft%26keywords%3Dhandcraft%26pd_rd_i%3DB0BFFWQVV3%26pd_rd_r%3D5f1957f6-e2f6-4210-89d8-0276466c7b01%26pd_rd_w%3DM1Jtx%26pd_rd_wg%3DXXDNx%26pf_rd_p%3Df4325b99-8968-4d6c-a274-a54cc530dfac%26pf_rd_r%3DET4E3KSWVZ9MVMCZN3RN%26qid%3D1762297388%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D1-146-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=V67zzy5wpi&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71mFHyZM1KL._AC_UL320_.jpg
117,"Xtore Lavish Gold Home Decor Lucky Deer Family Ceramic Figurine (Set of 3, Gold Matte)",₹843,4.4,215,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDE5Nzc5MTA4ODIyMDk4OjE3NjIyOTczODk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTQ0MjQ0OTA1Nzk4OjoyOjo&url=%2FXtore-Lavish-Family-Ceramic-Figurine%2Fdp%2FB09Y781B7Y%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%253Aamzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%26crid%3D349J41UZKK17D%26cv_ct_cx%3Dhandcraft%26keywords%3Dhandcraft%26pd_rd_i%3DB09Y781B7Y%26pd_rd_r%3D5f1957f6-e2f6-4210-89d8-0276466c7b01%26pd_rd_w%3DM1Jtx%26pd_rd_wg%3DXXDNx%26pf_rd_p%3Df4325b99-8968-4d6c-a274-a54cc530dfac%26pf_rd_r%3DET4E3KSWVZ9MVMCZN3RN%26qid%3D1762297388%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D1-147-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=CnH8yi2zzU&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51LKZ9kOBBL._AC_UL320_.jpg
118,"Zart Polyresin Welcome Lady Showpiece for Home and Office Decor - Perfect for Shelves (14"" Inch, Multicolor)",₹949,4.0,329,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDE5Nzc5MTA4ODIyMDk4OjE3NjIyOTczODk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ2MzU0MDc4NzUzMjo6Mzo6&url=%2FPresents-Welcome-Showpiece-Perfect-Entrance%2Fdp%2FB08HM5QPS9%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%253Aamzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%26crid%3D349J41UZKK17D%26cv_ct_cx%3Dhandcraft%26keywords%3Dhandcraft%26pd_rd_i%3DB08HM5QPS9%26pd_rd_r%3D5f1957f6-e2f6-4210-89d8-0276466c7b01%26pd_rd_w%3DM1Jtx%26pd_rd_wg%3DXXDNx%26pf_rd_p%3Df4325b99-8968-4d6c-a274-a54cc530dfac%26pf_rd_r%3DET4E3KSWVZ9MVMCZN3RN%26qid%3D1762297388%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D1-148-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=d7v1fm88YP&sp_cr=ZAZ,https://m.media-amazon.com/images/I/710SHK8aTsL._AC_UL320_.jpg
119,"amazon basics Creative Resin Golden and White Reindeer Sculptures | Beautiful Home Decor | Elevates The Energy of Your Room (Pack of 2, White and Golden)",₹959,4.2,658,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDE5Nzc5MTA4ODIyMDk4OjE3NjIyOTczODk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDc2ODU2Mjc2MTYzMjo6NDo6&url=%2Famazon-basics-Reindeer-Sculptures-Beautiful%2Fdp%2FB0DG32JW7Z%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%253Aamzn1.sym.f4325b99-8968-4d6c-a274-a54cc530dfac%26crid%3D349J41UZKK17D%26cv_ct_cx%3Dhandcraft%26keywords%3Dhandcraft%26pd_rd_i%3DB0DG32JW7Z%26pd_rd_r%3D5f1957f6-e2f6-4210-89d8-0276466c7b01%26pd_rd_w%3DM1Jtx%26pd_rd_wg%3DXXDNx%26pf_rd_p%3Df4325b99-8968-4d6c-a274-a54cc530dfac%26pf_rd_r%3DET4E3KSWVZ9MVMCZN3RN%26qid%3D1762297388%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D1-149-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=DTvKGw6B2N&sp_cr=ZAZ,https://m.media-amazon.com/images/I/615Q0KEbnAL._AC_UL320_.jpg
120,"Genda Phool Artificial Marigold Fluffy Flower Handcraft Stylish Window Door Diwali Pooja Living Room Bedroom Home Hall Office Special String Plastic Festival Theme Decorative Stage Décor Orange, 12",₹575,3.8,4,https://www.amazon.in/Artificial-Marigold-Garlands-Navratri-Decoration/dp/B09HP4VG3J/ref=sr_1_152?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-152,https://m.media-amazon.com/images/I/510GYaL2ngL._AC_UL320_.jpg
121,"Cottage Handcraft JUTE BAG, Handheld Bag for women, Straw Crossbody Purse, Designer look, Color (WHITE)","₹1,199",No rating,0,https://www.amazon.in/Cottage-Handcraft-Handheld-Crossbody-Designer/dp/B0DJXSNV65/ref=sr_1_153?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-153,https://m.media-amazon.com/images/I/6183wNJx8tL._AC_UL320_.jpg
122,"Genda Phool Artificial Marigold Fluffy Flower Handcraft Stylish Window Door Diwali pooja living room bedroom Home Hall Office Special String Plastic Festival Theme Decorative Stage Décor Orange, 27","₹1,074",No rating,0,https://www.amazon.in/Artificial-Marigold-Garlands-Navratri-Decoration/dp/B09HP5PLGN/ref=sr_1_154?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-154,https://m.media-amazon.com/images/I/51q+VPE5UsL._AC_UL320_.jpg
123,"Jenna Air-Dry Clay | Non-Toxic Modeling Clay for Sculpting, Art & Craft, Handicraft & Educational Use | Ideal for Fine Motor Skills (White, 300g)",₹280,4.5,27,https://www.amazon.in/Jenna-Non-Toxic-Sculpting-Handicraft-Educational/dp/B0FC5ZQP3Z/ref=sr_1_17?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.ytNwWbOinfnu9E2dHj7wED4WveuLOzP5ZcKBlpI_Lj71ENVQam90UF_3wNOOby2ysVuXP41m5kUaybdgZHrSDhl5X9umNrLf9E_oz2oemtWTiNmNoompSvpZms08AeJWtB1xl7pDypyhyl-nP8NgkaJ91vTR1_DwCKfaYOklNLTtj1hEknb07OH9AcA67bREfUTslNeC17uho7mkEfrkWyByXMJMkwF4eji-JIassHozmKvv9LhUX90w3fQyLp4JO2ByvpjJ83pOcHQXuWMCMC7I9pE3KErnxsKjXbYCgjI.0X1wvORXQ0STK91mLAhokiBsvsIPls_lwTzFliJphLw&dib_tag=se&keywords=handcraft&qid=1762297373&sprefix=handcraft%2Caps%2C132&sr=8-17,https://m.media-amazon.com/images/I/41hT81POOjL._AC_UL320_.jpg
124,"Genda Phool Artificial Marigold Fluffy Flower Handcraft Stylish Window Door Diwali pooja living room bedroom Home Hall Office Special String Plastic Festival Theme Decorative Stage Décor Orange, 15",₹400,3.0,2,https://www.amazon.in/Artificial-Marigold-Handcraft-Festival-Decorative/dp/B09HP6DPK7/ref=sr_1_155?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-155,https://m.media-amazon.com/images/I/510GYaL2ngL._AC_UL320_.jpg
125,Kosha Handcrafts Lord Adiyogi Shiva Idol Statue Decorative Showpiece Home Decor Car Dashboard Office Table Living Room,₹269,No rating,0,https://www.amazon.in/Handcrafts-Adiyogi-Decorative-Showpiece-Dashboard/dp/B0DJR15XGX/ref=sr_1_156?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.G-r6bIh2vUuwI-0XuNPGuy2VBUNeVaRKgEZ3J41i-WTw8ZdEBXUIhDTSuOhLhOFCjhoPXIMDKlQf5U4AyOFx2vt3ds7phybab5El-hAUWmaeZm_dCbmw1-ibvO_ydQF1pYL-7N1mSyCzb1KofV6rrj5Zqksq5A04vl2-2ZoMXQQHxQOw-50lKgJ7GGEsiIk5HADtwtNj9MJ1CYkfMQinSfzA687lNd8rMwuBZrj5gM2v1GXqT2J_Lvp9jSEmflb4W7R5lY53iAH7mt-z-JdfV19zpNxCxZsQMVvfTdj53k0.riK8-imKkTbt3Nkm16BErQEg1K3gjgZGXxFkGMnCKqU&dib_tag=se&keywords=handcraft&qid=1762297388&sprefix=handcraft%2Caps%2C132&sr=8-156,https://m.media-amazon.com/images/I/41ZEgZVkEGL._AC_UL320_.jpg
