,Title,Price,Rating,no_of_ratings,Link,ImageURL
10,"zart Resin Black Jaguar Showpiece For Home Decor/Black Panther Statue For Living Room Decor, Cheetah Showpiece Office Decor Item, Pack of 1",₹712,3.9,344,https://www.amazon.in/Jaguar-Showpiece-Panther-Statue-Cheetah/dp/B0B828ZF62/ref=sr_1_87?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-87,https://m.media-amazon.com/images/I/41PsVxG86zL._AC_UL320_.jpg
11,"Artvibes Colorful Birds Wall and Door Hanging for Home|Gift, Wall Decoration (WH_5216N)-Multicolour-Engineered Wood",₹229,4.3,2100,https://www.amazon.in/Artvibes-Colorful-Decoration-WH_5216N-Multicolour/dp/B09RMQCW8L/ref=sr_1_88?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-88,https://m.media-amazon.com/images/I/61YMOuHl3sL._AC_UL320_.jpg
12,"Naayaab Craft Handmade & Handcraft Sheesham Wooden Book Holder Display Stand Folding Religious Prayer Free Reading Stand with Intricate Carvings, Rehal for Religious Holy Books - Size (12 Inch)",₹398,4.3,952,https://www.amazon.in/Naayaab-Craft-Handcraft-Religious-Intricate/dp/B08T69WSLG/ref=sr_1_12?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.ytNwWbOinfnu9E2dHj7wED4WveuLOzP5ZcKBlpI_Lj71ENVQam90UF_3wNOOby2ysVuXP41m5kUaybdgZHrSDhl5X9umNrLf9E_oz2oemtWTiNmNoompSvpZms08AeJWtB1xl7pDypyhyl-nP8NgkaJ91vTR1_DwCKfaYOklNLTtj1hEknb07OH9AcA67bREfUTslNeC17uho7mkEfrkWyByXMJMkwF4eji-JIassHozmKvv9LhUX90w3fQyLp4JO2ByvpjJ83pOcHQXuWMCMC7I9pE3KErnxsKjXbYCgjI.0X1wvORXQ0STK91mLAhokiBsvsIPls_lwTzFliJphLw&dib_tag=se&keywords=handcraft&qid=1762297373&sprefix=handcraft%2Caps%2C132&sr=8-12,https://m.media-amazon.com/images/I/61UaZMToPIL._AC_UL320_.jpg
13,VS handcraft boutique Traditional Silk Thread Bangles with Golden Floral Kundan Work,₹299,No rating,0,https://www.amazon.in/VS-handcraft-boutique-Traditional-Bangles/dp/B0FX5BY3GZ/ref=sr_1_89?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-89,https://m.media-amazon.com/images/I/51uoBBtyrGL._AC_UL320_.jpg
14,Devin La Supari with handcraft decorated jewel for Pooja and marriage sapt-padi (Blue Gold),₹420,4.6,8,https://www.amazon.in/Devin-handcraft-decorated-marriage-sapt-padi/dp/B0DPR6NGTN/ref=sr_1_90?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-90,https://m.media-amazon.com/images/I/71-tPbTnOGL._AC_UL320_.jpg
15,"MYRA HANDCRAFTS Handmade Handle Removable Clutch Hand Embroidered Clutch Bag Purse for Bridal, Casual, Wedding Bag for Women & Girls","₹2,995",No rating,0,https://www.amazon.in/HANDCRAFTS-Handmade-Removable-Embroidered-Wedding/dp/B0DWN5C5JR/ref=sr_1_91?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-91,https://m.media-amazon.com/images/I/817KBi1I8VL._AC_UL320_.jpg
16,"MYRA HANDCRAFTS Handmade Crystal Beaded U Handle Evening Handbag for Women and Girls, Fashion Party Clutch Purse. Use for Every Occassion.","₹2,195",No rating,0,https://www.amazon.in/HANDCRAFTS-Handmade-Crystal-Evening-Occassion/dp/B0DW97CXD7/ref=sr_1_92?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-92,https://m.media-amazon.com/images/I/81inHVUAQgL._AC_UL320_.jpg
17,JFL - Jewellery for Less Beautiful Warli Painting Faces Pendant with Multicolor Beaded Handcraft Necklace and Dangler Earrings for Women and Girls.,₹399,4.0,13,https://www.amazon.in/JFL-Jewellery-Adjustable-Handcraft-Necklace/dp/B09N7CG5WZ/ref=sr_1_93?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-93,https://m.media-amazon.com/images/I/71NFwtC1vXL._AC_UL320_.jpg
18,"VS handcraft boutique Set of 20 Multicolour Matt Finish Bangles for Women & Girls | Traditional Ethnic Jewellery | Wedding, Party, Festive & Return Gift",₹499,No rating,0,https://www.amazon.in/VS-handcraft-boutique-Multicolour-Traditional/dp/B0FX5N2426/ref=sr_1_94?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-94,https://m.media-amazon.com/images/I/6176tHsWZxL._AC_UL320_.jpg
19,Kuber Industries Polyester Embroidered Potli Batwa Pouch Bag for Women (Peach)-CTKTC043736,₹397,3.9,298,https://www.amazon.in/Kuber-Industries-Polyester-Embroidered-CTKTC043736/dp/B089B7GHNN/ref=sr_1_95?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-95,https://m.media-amazon.com/images/I/81KHYhDjdWL._AC_UL320_.jpg
